date,awayTeam,homeTeam,winTeam,loseTeam,homeTeamPoints,awayTeamPoints,winTeamPoints,loseTeamPoints,attendance,overTime
10/20/21,"{'city': 'Oklahoma City', 'state': 'Oklahoma', 'abbreviation': 'OKC', 'teamName': 'Oklahoma City Thunder'}","{'city': 'Salt Lake City', 'state': 'Utah', 'abbreviation': 'UTA', 'teamName': 'Utah Jazz'}","{'city': 'Salt Lake City', 'state': 'Utah', 'abbreviation': 'UTA', 'teamName': 'Utah Jazz'}","{'city': 'Oklahoma City', 'state': 'Oklahoma', 'abbreviation': 'OKC', 'teamName': 'Oklahoma City Thunder'}",107,86,107,86,18306,null
10/20/21,"{'city': 'Sacramento', 'state': 'California', 'abbreviation': 'SAC', 'teamName': 'Sacramento Kings'}","{'city': 'Portland', 'state': 'Oregon', 'abbreviation': 'POR', 'teamName': 'Portland Trail Blazers'}","{'city': 'Sacramento', 'state': 'California', 'abbreviation': 'SAC', 'teamName': 'Sacramento Kings'}","{'city': 'Portland', 'state': 'Oregon', 'abbreviation': 'POR', 'teamName': 'Portland Trail Blazers'}",121,124,124,121,17467,null
10/20/21,"{'city': 'Denver', 'state': 'Colorado', 'abbreviation': 'DEN', 'teamName': 'Denver Nuggets'}","{'city': 'Phoenix', 'state': 'Arizona', 'abbreviation': 'PHX', 'teamName': 'Phoenix Suns'}","{'city': 'Denver', 'state': 'Colorado', 'abbreviation': 'DEN', 'teamName': 'Denver Nuggets'}","{'city': 'Phoenix', 'state': 'Arizona', 'abbreviation': 'PHX', 'teamName': 'Phoenix Suns'}",98,110,110,98,16074,null
10/21/21,"{'city': 'Dallas', 'state': 'Texas', 'abbreviation': 'DAL', 'teamName': 'Dallas Mavericks'}","{'city': 'Atlanta', 'state': 'Georgia', 'abbreviation': 'ATL', 'teamName': 'Atlanta Hawks'}","{'city': 'Atlanta', 'state': 'Georgia', 'abbreviation': 'ATL', 'teamName': 'Atlanta Hawks'}","{'city': 'Dallas', 'state': 'Texas', 'abbreviation': 'DAL', 'teamName': 'Dallas Mavericks'}",113,87,113,87,17162,null
10/21/21,"{'city': 'Milwaukee', 'state': 'Wisconsin', 'abbreviation': 'MIL', 'teamName': 'Milwaukee Bucks'}","{'city': 'Miami', 'state': 'Florida', 'abbreviation': 'MIA', 'teamName': 'Miami Heat'}","{'city': 'Miami', 'state': 'Florida', 'abbreviation': 'MIA', 'teamName': 'Miami Heat'}","{'city': 'Milwaukee', 'state': 'Wisconsin', 'abbreviation': 'MIL', 'teamName': 'Milwaukee Bucks'}",137,95,137,95,19600,null
10/21/21,"{'city': 'Los Angeles', 'state': 'California', 'abbreviation': 'LAC', 'teamName': 'Los Angeles Clippers'}","{'city': 'San Francisco', 'state': 'California', 'abbreviation': 'GSW', 'teamName': 'Golden State Warriors'}","{'city': 'San Francisco', 'state': 'California', 'abbreviation': 'GSW', 'teamName': 'Golden State Warriors'}","{'city': 'Los Angeles', 'state': 'California', 'abbreviation': 'LAC', 'teamName': 'Los Angeles Clippers'}",115,113,115,113,18064,null
10/22/21,"{'city': 'New York', 'state': 'New York', 'abbreviation': 'NYK', 'teamName': 'New York Knicks'}","{'city': 'Orlando', 'state': 'Florida', 'abbreviation': 'ORL', 'teamName': 'Orlando Magic'}","{'city': 'New York', 'state': 'New York', 'abbreviation': 'NYK', 'teamName': 'New York Knicks'}","{'city': 'Orlando', 'state': 'Florida', 'abbreviation': 'ORL', 'teamName': 'Orlando Magic'}",96,121,121,96,18846,null
10/22/21,"{'city': 'Indiana', 'state': 'Indianapolis', 'abbreviation': 'IND', 'teamName': 'Indiana Pacers'}","{'city': 'Washington', 'state': 'Washington D.C.', 'abbreviation': 'WAS', 'teamName': 'Washington Wizards'}","{'city': 'Washington', 'state': 'Washington D.C.', 'abbreviation': 'WAS', 'teamName': 'Washington Wizards'}","{'city': 'Indiana', 'state': 'Indianapolis', 'abbreviation': 'IND', 'teamName': 'Indiana Pacers'}",135,134,135,134,15407,OT
10/22/21,"{'city': 'Charlotte', 'state': 'North Carolina', 'abbreviation': 'CHA', 'teamName': 'Charlotte Hornets'}","{'city': 'Cleveland', 'state': 'Ohio', 'abbreviation': 'CLE', 'teamName': 'Cleveland Cavaliers'}","{'city': 'Charlotte', 'state': 'North Carolina', 'abbreviation': 'CHA', 'teamName': 'Charlotte Hornets'}","{'city': 'Cleveland', 'state': 'Ohio', 'abbreviation': 'CLE', 'teamName': 'Cleveland Cavaliers'}",112,123,123,112,17116,null
10/22/21,"{'city': 'Toronto', 'state': 'Ontario', 'abbreviation': 'TOR', 'teamName': 'Toronto Raptors'}","{'city': 'Boston', 'state': 'Massachusetts', 'abbreviation': 'BOS', 'teamName': 'Boston Celtics'}","{'city': 'Toronto', 'state': 'Ontario', 'abbreviation': 'TOR', 'teamName': 'Toronto Raptors'}","{'city': 'Boston', 'state': 'Massachusetts', 'abbreviation': 'BOS', 'teamName': 'Boston Celtics'}",83,115,115,83,19156,null
10/22/21,"{'city': 'Brooklyn', 'state': 'New York', 'abbreviation': 'BKN', 'teamName': 'Brooklyn Nets'}","{'city': 'Philadelphia', 'state': 'Pennsylvania', 'abbreviation': 'PHI', 'teamName': 'Philadelphia 76ers'}","{'city': 'Brooklyn', 'state': 'New York', 'abbreviation': 'BKN', 'teamName': 'Brooklyn Nets'}","{'city': 'Philadelphia', 'state': 'Pennsylvania', 'abbreviation': 'PHI', 'teamName': 'Philadelphia 76ers'}",109,114,114,109,20367,null
10/22/21,"{'city': 'Oklahoma City', 'state': 'Oklahoma', 'abbreviation': 'OKC', 'teamName': 'Oklahoma City Thunder'}","{'city': 'Houston', 'state': 'Texas', 'abbreviation': 'HOU', 'teamName': 'Houston Rockets'}","{'city': 'Houston', 'state': 'Texas', 'abbreviation': 'HOU', 'teamName': 'Houston Rockets'}","{'city': 'Oklahoma City', 'state': 'Oklahoma', 'abbreviation': 'OKC', 'teamName': 'Oklahoma City Thunder'}",124,91,124,91,15674,null
10/22/21,"{'city': 'New Orleans', 'state': 'Louisiana', 'abbreviation': 'NOP', 'teamName': 'New Orleans Pelicans'}","{'city': 'Chicago', 'state': 'Illinois', 'abbreviation': 'CHI', 'teamName': 'Chicago Bulls'}","{'city': 'Chicago', 'state': 'Illinois', 'abbreviation': 'CHI', 'teamName': 'Chicago Bulls'}","{'city': 'New Orleans', 'state': 'Louisiana', 'abbreviation': 'NOP', 'teamName': 'New Orleans Pelicans'}",128,112,128,112,20995,null
10/22/21,"{'city': 'San Antonio', 'state': 'Texas', 'abbreviation': 'SAS', 'teamName': 'San Antonio Spurs'}","{'city': 'Denver', 'state': 'Colorado', 'abbreviation': 'DEN', 'teamName': 'Denver Nuggets'}","{'city': 'Denver', 'state': 'Colorado', 'abbreviation': 'DEN', 'teamName': 'Denver Nuggets'}","{'city': 'San Antonio', 'state': 'Texas', 'abbreviation': 'SAS', 'teamName': 'San Antonio Spurs'}",102,96,102,96,19520,null
10/22/21,"{'city': 'Phoenix', 'state': 'Arizona', 'abbreviation': 'PHX', 'teamName': 'Phoenix Suns'}","{'city': 'Los Angeles', 'state': 'California', 'abbreviation': 'LAL', 'teamName': 'Los Angeles Lakers'}","{'city': 'Phoenix', 'state': 'Arizona', 'abbreviation': 'PHX', 'teamName': 'Phoenix Suns'}","{'city': 'Los Angeles', 'state': 'California', 'abbreviation': 'LAL', 'teamName': 'Los Angeles Lakers'}",105,115,115,105,18997,null
10/22/21,"{'city': 'Salt Lake City', 'state': 'Utah', 'abbreviation': 'UTA', 'teamName': 'Utah Jazz'}","{'city': 'Sacramento', 'state': 'California', 'abbreviation': 'SAC', 'teamName': 'Sacramento Kings'}","{'city': 'Salt Lake City', 'state': 'Utah', 'abbreviation': 'UTA', 'teamName': 'Utah Jazz'}","{'city': 'Sacramento', 'state': 'California', 'abbreviation': 'SAC', 'teamName': 'Sacramento Kings'}",101,110,110,101,17583,null
10/23/21,"{'city': 'Atlanta', 'state': 'Georgia', 'abbreviation': 'ATL', 'teamName': 'Atlanta Hawks'}","{'city': 'Cleveland', 'state': 'Ohio', 'abbreviation': 'CLE', 'teamName': 'Cleveland Cavaliers'}","{'city': 'Cleveland', 'state': 'Ohio', 'abbreviation': 'CLE', 'teamName': 'Cleveland Cavaliers'}","{'city': 'Atlanta', 'state': 'Georgia', 'abbreviation': 'ATL', 'teamName': 'Atlanta Hawks'}",101,95,101,95,16846,null
10/23/21,"{'city': 'Miami', 'state': 'Florida', 'abbreviation': 'MIA', 'teamName': 'Miami Heat'}","{'city': 'Indiana', 'state': 'Indianapolis', 'abbreviation': 'IND', 'teamName': 'Indiana Pacers'}","{'city': 'Indiana', 'state': 'Indianapolis', 'abbreviation': 'IND', 'teamName': 'Indiana Pacers'}","{'city': 'Miami', 'state': 'Florida', 'abbreviation': 'MIA', 'teamName': 'Miami Heat'}",102,91,102,91,17147,OT
10/23/21,"{'city': 'Dallas', 'state': 'Texas', 'abbreviation': 'DAL', 'teamName': 'Dallas Mavericks'}","{'city': 'Toronto', 'state': 'Ontario', 'abbreviation': 'TOR', 'teamName': 'Toronto Raptors'}","{'city': 'Dallas', 'state': 'Texas', 'abbreviation': 'DAL', 'teamName': 'Dallas Mavericks'}","{'city': 'Toronto', 'state': 'Ontario', 'abbreviation': 'TOR', 'teamName': 'Toronto Raptors'}",95,103,103,95,19800,null
10/23/21,"{'city': 'Detroit', 'state': 'Michigan', 'abbreviation': 'DET', 'teamName': 'Detroit Pistons'}","{'city': 'Chicago', 'state': 'Illinois', 'abbreviation': 'CHI', 'teamName': 'Chicago Bulls'}","{'city': 'Chicago', 'state': 'Illinois', 'abbreviation': 'CHI', 'teamName': 'Chicago Bulls'}","{'city': 'Detroit', 'state': 'Michigan', 'abbreviation': 'DET', 'teamName': 'Detroit Pistons'}",97,82,97,82,18888,null
10/23/21,"{'city': 'New Orleans', 'state': 'Louisiana', 'abbreviation': 'NOP', 'teamName': 'New Orleans Pelicans'}","{'city': 'Minneapolis', 'state': 'Minnesota ', 'abbreviation': 'MIN', 'teamName': 'Minnesota Timberwolves'}","{'city': 'Minneapolis', 'state': 'Minnesota ', 'abbreviation': 'MIN', 'teamName': 'Minnesota Timberwolves'}","{'city': 'New Orleans', 'state': 'Louisiana', 'abbreviation': 'NOP', 'teamName': 'New Orleans Pelicans'}",96,89,96,89,15343,null
10/23/21,"{'city': 'Milwaukee', 'state': 'Wisconsin', 'abbreviation': 'MIL', 'teamName': 'Milwaukee Bucks'}","{'city': 'San Antonio', 'state': 'Texas', 'abbreviation': 'SAS', 'teamName': 'San Antonio Spurs'}","{'city': 'Milwaukee', 'state': 'Wisconsin', 'abbreviation': 'MIL', 'teamName': 'Milwaukee Bucks'}","{'city': 'San Antonio', 'state': 'Texas', 'abbreviation': 'SAS', 'teamName': 'San Antonio Spurs'}",111,121,121,111,14353,null
10/23/21,"{'city': 'Phoenix', 'state': 'Arizona', 'abbreviation': 'PHX', 'teamName': 'Phoenix Suns'}","{'city': 'Portland', 'state': 'Oregon', 'abbreviation': 'POR', 'teamName': 'Portland Trail Blazers'}","{'city': 'Portland', 'state': 'Oregon', 'abbreviation': 'POR', 'teamName': 'Portland Trail Blazers'}","{'city': 'Phoenix', 'state': 'Arizona', 'abbreviation': 'PHX', 'teamName': 'Phoenix Suns'}",134,105,134,105,18558,null
10/23/21,"{'city': 'Memphis', 'state': 'Tennessee', 'abbreviation': 'MEM', 'teamName': 'Memphis Grizzlies'}","{'city': 'Los Angeles', 'state': 'California', 'abbreviation': 'LAC', 'teamName': 'Los Angeles Clippers'}","{'city': 'Memphis', 'state': 'Tennessee', 'abbreviation': 'MEM', 'teamName': 'Memphis Grizzlies'}","{'city': 'Los Angeles', 'state': 'California', 'abbreviation': 'LAC', 'teamName': 'Los Angeles Clippers'}",114,120,120,114,16748,null
10/24/21,"{'city': 'Charlotte', 'state': 'North Carolina', 'abbreviation': 'CHA', 'teamName': 'Charlotte Hornets'}","{'city': 'Brooklyn', 'state': 'New York', 'abbreviation': 'BKN', 'teamName': 'Brooklyn Nets'}","{'city': 'Charlotte', 'state': 'North Carolina', 'abbreviation': 'CHA', 'teamName': 'Charlotte Hornets'}","{'city': 'Brooklyn', 'state': 'New York', 'abbreviation': 'BKN', 'teamName': 'Brooklyn Nets'}",95,111,111,95,17732,null
10/24/21,"{'city': 'Boston', 'state': 'Massachusetts', 'abbreviation': 'BOS', 'teamName': 'Boston Celtics'}","{'city': 'Houston', 'state': 'Texas', 'abbreviation': 'HOU', 'teamName': 'Houston Rockets'}","{'city': 'Boston', 'state': 'Massachusetts', 'abbreviation': 'BOS', 'teamName': 'Boston Celtics'}","{'city': 'Houston', 'state': 'Texas', 'abbreviation': 'HOU', 'teamName': 'Houston Rockets'}",97,107,107,97,16069,null
10/24/21,"{'city': 'Orlando', 'state': 'Florida', 'abbreviation': 'ORL', 'teamName': 'Orlando Magic'}","{'city': 'New York', 'state': 'New York', 'abbreviation': 'NYK', 'teamName': 'New York Knicks'}","{'city': 'Orlando', 'state': 'Florida', 'abbreviation': 'ORL', 'teamName': 'Orlando Magic'}","{'city': 'New York', 'state': 'New York', 'abbreviation': 'NYK', 'teamName': 'New York Knicks'}",104,110,110,104,16273,null
10/24/21,"{'city': 'Philadelphia', 'state': 'Pennsylvania', 'abbreviation': 'PHI', 'teamName': 'Philadelphia 76ers'}","{'city': 'Oklahoma City', 'state': 'Oklahoma', 'abbreviation': 'OKC', 'teamName': 'Oklahoma City Thunder'}","{'city': 'Philadelphia', 'state': 'Pennsylvania', 'abbreviation': 'PHI', 'teamName': 'Philadelphia 76ers'}","{'city': 'Oklahoma City', 'state': 'Oklahoma', 'abbreviation': 'OKC', 'teamName': 'Oklahoma City Thunder'}",103,115,115,103,14256,null
10/24/21,"{'city': 'San Francisco', 'state': 'California', 'abbreviation': 'GSW', 'teamName': 'Golden State Warriors'}","{'city': 'Sacramento', 'state': 'California', 'abbreviation': 'SAC', 'teamName': 'Sacramento Kings'}","{'city': 'San Francisco', 'state': 'California', 'abbreviation': 'GSW', 'teamName': 'Golden State Warriors'}","{'city': 'Sacramento', 'state': 'California', 'abbreviation': 'SAC', 'teamName': 'Sacramento Kings'}",107,119,119,107,13876,null
10/24/21,"{'city': 'Memphis', 'state': 'Tennessee', 'abbreviation': 'MEM', 'teamName': 'Memphis Grizzlies'}","{'city': 'Los Angeles', 'state': 'California', 'abbreviation': 'LAL', 'teamName': 'Los Angeles Lakers'}","{'city': 'Los Angeles', 'state': 'California', 'abbreviation': 'LAL', 'teamName': 'Los Angeles Lakers'}","{'city': 'Memphis', 'state': 'Tennessee', 'abbreviation': 'MEM', 'teamName': 'Memphis Grizzlies'}",121,118,121,118,18997,null
10/25/21,"{'city': 'Boston', 'state': 'Massachusetts', 'abbreviation': 'BOS', 'teamName': 'Boston Celtics'}","{'city': 'Charlotte', 'state': 'North Carolina', 'abbreviation': 'CHA', 'teamName': 'Charlotte Hornets'}","{'city': 'Boston', 'state': 'Massachusetts', 'abbreviation': 'BOS', 'teamName': 'Boston Celtics'}","{'city': 'Charlotte', 'state': 'North Carolina', 'abbreviation': 'CHA', 'teamName': 'Charlotte Hornets'}",129,140,140,129,17238,OT
10/25/21,"{'city': 'Milwaukee', 'state': 'Wisconsin', 'abbreviation': 'MIL', 'teamName': 'Milwaukee Bucks'}","{'city': 'Indiana', 'state': 'Indianapolis', 'abbreviation': 'IND', 'teamName': 'Indiana Pacers'}","{'city': 'Milwaukee', 'state': 'Wisconsin', 'abbreviation': 'MIL', 'teamName': 'Milwaukee Bucks'}","{'city': 'Indiana', 'state': 'Indianapolis', 'abbreviation': 'IND', 'teamName': 'Indiana Pacers'}",109,119,119,109,10339,null
10/25/21,"{'city': 'Chicago', 'state': 'Illinois', 'abbreviation': 'CHI', 'teamName': 'Chicago Bulls'}","{'city': 'Toronto', 'state': 'Ontario', 'abbreviation': 'TOR', 'teamName': 'Toronto Raptors'}","{'city': 'Chicago', 'state': 'Illinois', 'abbreviation': 'CHI', 'teamName': 'Chicago Bulls'}","{'city': 'Toronto', 'state': 'Ontario', 'abbreviation': 'TOR', 'teamName': 'Toronto Raptors'}",108,111,111,108,19800,null
10/25/21,"{'city': 'Orlando', 'state': 'Florida', 'abbreviation': 'ORL', 'teamName': 'Orlando Magic'}","{'city': 'Miami', 'state': 'Florida', 'abbreviation': 'MIA', 'teamName': 'Miami Heat'}","{'city': 'Miami', 'state': 'Florida', 'abbreviation': 'MIA', 'teamName': 'Miami Heat'}","{'city': 'Orlando', 'state': 'Florida', 'abbreviation': 'ORL', 'teamName': 'Orlando Magic'}",107,90,107,90,19600,null
10/25/21,"{'city': 'Washington', 'state': 'Washington D.C.', 'abbreviation': 'WAS', 'teamName': 'Washington Wizards'}","{'city': 'Brooklyn', 'state': 'New York', 'abbreviation': 'BKN', 'teamName': 'Brooklyn Nets'}","{'city': 'Brooklyn', 'state': 'New York', 'abbreviation': 'BKN', 'teamName': 'Brooklyn Nets'}","{'city': 'Washington', 'state': 'Washington D.C.', 'abbreviation': 'WAS', 'teamName': 'Washington Wizards'}",104,90,104,90,14487,null
10/25/21,"{'city': 'Detroit', 'state': 'Michigan', 'abbreviation': 'DET', 'teamName': 'Detroit Pistons'}","{'city': 'Atlanta', 'state': 'Georgia', 'abbreviation': 'ATL', 'teamName': 'Atlanta Hawks'}","{'city': 'Atlanta', 'state': 'Georgia', 'abbreviation': 'ATL', 'teamName': 'Atlanta Hawks'}","{'city': 'Detroit', 'state': 'Michigan', 'abbreviation': 'DET', 'teamName': 'Detroit Pistons'}",122,104,122,104,14209,null
10/25/21,"{'city': 'New Orleans', 'state': 'Louisiana', 'abbreviation': 'NOP', 'teamName': 'New Orleans Pelicans'}","{'city': 'Minneapolis', 'state': 'Minnesota ', 'abbreviation': 'MIN', 'teamName': 'Minnesota Timberwolves'}","{'city': 'New Orleans', 'state': 'Louisiana', 'abbreviation': 'NOP', 'teamName': 'New Orleans Pelicans'}","{'city': 'Minneapolis', 'state': 'Minnesota ', 'abbreviation': 'MIN', 'teamName': 'Minnesota Timberwolves'}",98,107,107,98,14435,null
10/25/21,"{'city': 'Cleveland', 'state': 'Ohio', 'abbreviation': 'CLE', 'teamName': 'Cleveland Cavaliers'}","{'city': 'Denver', 'state': 'Colorado', 'abbreviation': 'DEN', 'teamName': 'Denver Nuggets'}","{'city': 'Cleveland', 'state': 'Ohio', 'abbreviation': 'CLE', 'teamName': 'Cleveland Cavaliers'}","{'city': 'Denver', 'state': 'Colorado', 'abbreviation': 'DEN', 'teamName': 'Denver Nuggets'}",87,99,99,87,14221,null
10/25/21,"{'city': 'Portland', 'state': 'Oregon', 'abbreviation': 'POR', 'teamName': 'Portland Trail Blazers'}","{'city': 'Los Angeles', 'state': 'California', 'abbreviation': 'LAC', 'teamName': 'Los Angeles Clippers'}","{'city': 'Los Angeles', 'state': 'California', 'abbreviation': 'LAC', 'teamName': 'Los Angeles Clippers'}","{'city': 'Portland', 'state': 'Oregon', 'abbreviation': 'POR', 'teamName': 'Portland Trail Blazers'}",116,86,116,86,15672,null
10/26/21,"{'city': 'Philadelphia', 'state': 'Pennsylvania', 'abbreviation': 'PHI', 'teamName': 'Philadelphia 76ers'}","{'city': 'New York', 'state': 'New York', 'abbreviation': 'NYK', 'teamName': 'New York Knicks'}","{'city': 'New York', 'state': 'New York', 'abbreviation': 'NYK', 'teamName': 'New York Knicks'}","{'city': 'Philadelphia', 'state': 'Pennsylvania', 'abbreviation': 'PHI', 'teamName': 'Philadelphia 76ers'}",112,99,112,99,15218,null
10/26/21,"{'city': 'San Francisco', 'state': 'California', 'abbreviation': 'GSW', 'teamName': 'Golden State Warriors'}","{'city': 'Oklahoma City', 'state': 'Oklahoma', 'abbreviation': 'OKC', 'teamName': 'Oklahoma City Thunder'}","{'city': 'San Francisco', 'state': 'California', 'abbreviation': 'GSW', 'teamName': 'Golden State Warriors'}","{'city': 'Oklahoma City', 'state': 'Oklahoma', 'abbreviation': 'OKC', 'teamName': 'Oklahoma City Thunder'}",98,106,106,98,18512,null
10/26/21,"{'city': 'Los Angeles', 'state': 'California', 'abbreviation': 'LAL', 'teamName': 'Los Angeles Lakers'}","{'city': 'San Antonio', 'state': 'Texas', 'abbreviation': 'SAS', 'teamName': 'San Antonio Spurs'}","{'city': 'Los Angeles', 'state': 'California', 'abbreviation': 'LAL', 'teamName': 'Los Angeles Lakers'}","{'city': 'San Antonio', 'state': 'Texas', 'abbreviation': 'SAS', 'teamName': 'San Antonio Spurs'}",121,125,125,121,18354,OT
10/26/21,"{'city': 'Houston', 'state': 'Texas', 'abbreviation': 'HOU', 'teamName': 'Houston Rockets'}","{'city': 'Dallas', 'state': 'Texas', 'abbreviation': 'DAL', 'teamName': 'Dallas Mavericks'}","{'city': 'Dallas', 'state': 'Texas', 'abbreviation': 'DAL', 'teamName': 'Dallas Mavericks'}","{'city': 'Houston', 'state': 'Texas', 'abbreviation': 'HOU', 'teamName': 'Houston Rockets'}",116,106,116,106,19337,null
10/26/21,"{'city': 'Denver', 'state': 'Colorado', 'abbreviation': 'DEN', 'teamName': 'Denver Nuggets'}","{'city': 'Salt Lake City', 'state': 'Utah', 'abbreviation': 'UTA', 'teamName': 'Utah Jazz'}","{'city': 'Salt Lake City', 'state': 'Utah', 'abbreviation': 'UTA', 'teamName': 'Utah Jazz'}","{'city': 'Denver', 'state': 'Colorado', 'abbreviation': 'DEN', 'teamName': 'Denver Nuggets'}",122,110,122,110,18306,null
10/27/21,"{'city': 'Charlotte', 'state': 'North Carolina', 'abbreviation': 'CHA', 'teamName': 'Charlotte Hornets'}","{'city': 'Orlando', 'state': 'Florida', 'abbreviation': 'ORL', 'teamName': 'Orlando Magic'}","{'city': 'Charlotte', 'state': 'North Carolina', 'abbreviation': 'CHA', 'teamName': 'Charlotte Hornets'}","{'city': 'Orlando', 'state': 'Florida', 'abbreviation': 'ORL', 'teamName': 'Orlando Magic'}",111,120,120,111,14082,null
10/27/21,"{'city': 'Washington', 'state': 'Washington D.C.', 'abbreviation': 'WAS', 'teamName': 'Washington Wizards'}","{'city': 'Boston', 'state': 'Massachusetts', 'abbreviation': 'BOS', 'teamName': 'Boston Celtics'}","{'city': 'Washington', 'state': 'Washington D.C.', 'abbreviation': 'WAS', 'teamName': 'Washington Wizards'}","{'city': 'Boston', 'state': 'Massachusetts', 'abbreviation': 'BOS', 'teamName': 'Boston Celtics'}",107,116,116,107,19001,null
