firstName,lastName,birthDate,team,attributes,jerseyNum,positionDesc,yearsOfExperience
Marcus,Smart,3/7/94,"{city: Boston, state: Massachusetts, abbreviation: BOS, teamName: Boston Celtics}","{height: 76, weight: 220}",36,[G],
Jayson,Tatum,3/2/98,"{city: Boston, state: Massachusetts, abbreviation: BOS, teamName: Boston Celtics}","{height: 80, weight: 210}",0,"[F, G]",
Robert,Williams III,10/18/97,"{city: Boston, state: Massachusetts, abbreviation: BOS, teamName: Boston Celtics}","{height: 81, weight: 237}",44,"[C, F]",
Grant,Williams,12/1/98,"{city: Boston, state: Massachusetts, abbreviation: BOS, teamName: Boston Celtics}","{height: 78, weight: 236}",12,[F],
LaMarcus,Aldridge,7/22/85,"{city: Brooklyn, state: New York, abbreviation: BKN, teamName: Brooklyn Nets}","{height: 83, weight: 250}",21,"[C, F]",
DeAndre',Bembry,7/5/94,"{city: Brooklyn, state: New York, abbreviation: BKN, teamName: Brooklyn Nets}","{height: 77, weight: 210}",95,"[G, F]",
Bruce,Brown,8/17/96,"{city: Brooklyn, state: New York, abbreviation: BKN, teamName: Brooklyn Nets}","{height: 76, weight: 202}",1,"[G, F]",
Jevon,Carter,9/16/95,"{city: Brooklyn, state: New York, abbreviation: BKN, teamName: Brooklyn Nets}","{height: 73, weight: 200}",0,[G],
Nicolas,Claxton,4/19/99,"{city: Brooklyn, state: New York, abbreviation: BKN, teamName: Brooklyn Nets}","{height: 83, weight: 215}",33,"[F, C]",
Kevin,Durant,10/2/88,"{city: Brooklyn, state: New York, abbreviation: BKN, teamName: Brooklyn Nets}","{height: 82, weight: 240}",7,[F],
Blake,Griffin,3/19/89,"{city: Brooklyn, state: New York, abbreviation: BKN, teamName: Brooklyn Nets}","{height: 81, weight: 250}",2,[F],
James,Harden,8/30/89,"{city: Brooklyn, state: New York, abbreviation: BKN, teamName: Brooklyn Nets}","{height: 77, weight: 220}",13,[G],
Joe,Harris,9/10/91,"{city: Brooklyn, state: New York, abbreviation: BKN, teamName: Brooklyn Nets}","{height: 78, weight: 220}",12,"[G, F]",
James,Johnson,2/22/87,"{city: Brooklyn, state: New York, abbreviation: BKN, teamName: Brooklyn Nets}","{height: 79, weight: 240}",16,[F],
Paul,Millsap,2/15/85,"{city: Brooklyn, state: New York, abbreviation: BKN, teamName: Brooklyn Nets}","{height: 79, weight: 257}",31,[F],
Patty,Mills,8/16/88,"{city: Brooklyn, state: New York, abbreviation: BKN, teamName: Brooklyn Nets}","{height: 73, weight: 180}",8,[G],
Day'Ron,Sharpe,11/4/01,"{city: Brooklyn, state: New York, abbreviation: BKN, teamName: Brooklyn Nets}","{height: 81, weight: 265}",20,[F],
Cam,Thomas,10/14/01,"{city: Brooklyn, state: New York, abbreviation: BKN, teamName: Brooklyn Nets}","{height: 75, weight: 210}",24,[G],
LaMelo,Ball,8/20/01,"{city: Charlotte, state: North Carolina, abbreviation: CHA, teamName: Charlotte Hornets}","{height: 79, weight: 180}",2,[G],
James,Bouknight,9/18/00,"{city: Charlotte, state: North Carolina, abbreviation: CHA, teamName: Charlotte Hornets}","{height: 76, weight: 190}",5,[G],
Miles,Bridges,3/21/98,"{city: Charlotte, state: North Carolina, abbreviation: CHA, teamName: Charlotte Hornets}","{height: 79, weight: 225}",0,[F],
Vernon,Carey Jr.,2/26/01,"{city: Charlotte, state: North Carolina, abbreviation: CHA, teamName: Charlotte Hornets}","{height: 81, weight: 270}",22,"[F, C]",
Gordon,Hayward,3/26/90,"{city: Charlotte, state: North Carolina, abbreviation: CHA, teamName: Charlotte Hornets}","{height: 79, weight: 225}",20,[F],
Kai,Jones,1/20/01,"{city: Charlotte, state: North Carolina, abbreviation: CHA, teamName: Charlotte Hornets}","{height: 82, weight: 221}",23,"[C, F]",
Cody,Martin,10/1/95,"{city: Charlotte, state: North Carolina, abbreviation: CHA, teamName: Charlotte Hornets}","{height: 78, weight: 205}",11,[F],
Jalen,McDaniels,2/1/98,"{city: Charlotte, state: North Carolina, abbreviation: CHA, teamName: Charlotte Hornets}","{height: 81, weight: 205}",6,"[F, C]",
Kelly,Oubre Jr.,12/9/95,"{city: Charlotte, state: North Carolina, abbreviation: CHA, teamName: Charlotte Hornets}","{height: 78, weight: 203}",12,"[F, G]",
Mason,Plumlee,3/8/90,"{city: Charlotte, state: North Carolina, abbreviation: CHA, teamName: Charlotte Hornets}","{height: 83, weight: 254}",24,"[F, C]",
Nick,Richards,12/1/97,"{city: Charlotte, state: North Carolina, abbreviation: CHA, teamName: Charlotte Hornets}","{height: 85, weight: 245}",14,[C],
Terry,Rozier,3/18/94,"{city: Charlotte, state: North Carolina, abbreviation: CHA, teamName: Charlotte Hornets}","{height: 73, weight: 190}",3,[G],
Ish,Smith,7/10/88,"{city: Charlotte, state: North Carolina, abbreviation: CHA, teamName: Charlotte Hornets}","{height: 73, weight: 175}",10,[G],
JT,Thor,8/27/02,"{city: Charlotte, state: North Carolina, abbreviation: CHA, teamName: Charlotte Hornets}","{height: 81, weight: 203}",21,[F],
P.J.,Washington,8/24/98,"{city: Charlotte, state: North Carolina, abbreviation: CHA, teamName: Charlotte Hornets}","{height: 79, weight: 230}",25,[F],
Lonzo,Ball,10/26/97,"{city: Chicago, state: Illnois, abbreviation: CHI, teamName: Chicago Bulls}","{height: 78, weight: 190}",2,[G],
Tony,Bradley,1/10/98,"{city: Chicago, state: Illnois, abbreviation: CHI, teamName: Chicago Bulls}","{height: 82, weight: 248}",13,"[C, F]",
Troy,Brown Jr.,7/30/99,"{city: Chicago, state: Illnois, abbreviation: CHI, teamName: Chicago Bulls}","{height: 78, weight: 215}",7,"[G, F]",
Alex,Caruso,2/28/94,"{city: Chicago, state: Illnois, abbreviation: CHI, teamName: Chicago Bulls}","{height: 77, weight: 186}",6,[G],
DeMar,DeRozan,8/8/89,"{city: Chicago, state: Illnois, abbreviation: CHI, teamName: Chicago Bulls}","{height: 78, weight: 220}",11,"[G, F]",
Ayo,Dosunmu,1/17/00,"{city: Chicago, state: Illnois, abbreviation: CHI, teamName: Chicago Bulls}","{height: 76, weight: 200}",12,[G],
Javonte,Green,7/24/93,"{city: Chicago, state: Illnois, abbreviation: CHI, teamName: Chicago Bulls}","{height: 77, weight: 205}",24,"[G, F]",
Alize,Johnson,4/22/96,"{city: Chicago, state: Illnois, abbreviation: CHI, teamName: Chicago Bulls}","{height: 80, weight: 212}",22,[F],
Derrick,Jones Jr.,2/16/97,"{city: Chicago, state: Illnois, abbreviation: CHI, teamName: Chicago Bulls}","{height: 78, weight: 210}",5,[F],
Zach,LaVine,3/11/95,"{city: Chicago, state: Illnois, abbreviation: CHI, teamName: Chicago Bulls}","{height: 77, weight: 200}",8,"[G, F]",
Matt,Thomas,8/4/94,"{city: Chicago, state: Illnois, abbreviation: CHI, teamName: Chicago Bulls}","{height: 75, weight: 190}",21,[G],
Nikola,Vucevic,10/28/90,"{city: Chicago, state: Illnois, abbreviation: CHI, teamName: Chicago Bulls}","{height: 82, weight: 260}",9,[C],
Patrick,Williams,8/27/01,"{city: Chicago, state: Illnois, abbreviation: CHI, teamName: Chicago Bulls}","{height: 79, weight: 215}",44,[F],
Jarrett,Allen,4/22/98,"{city: Cleveland, state: Ohio, abbreviation: CLE, teamName: Cleveland Cavaliers}","{height: 82, weight: 243}",31,[C],
Tacko,Fall,12/13/95,"{city: Cleveland, state: Ohio, abbreviation: CLE, teamName: Cleveland Cavaliers}","{height: 90, weight: 311}",99,[C],
Darius,Garland,1/25/00,"{city: Cleveland, state: Ohio, abbreviation: CLE, teamName: Cleveland Cavaliers}","{height: 73, weight: 192}",10,[G],
Kevin,Love,9/10/88,"{city: Cleveland, state: Ohio, abbreviation: CLE, teamName: Cleveland Cavaliers}","{height: 80, weight: 251}",0,"[F, C]",
Lauri,Markkanen,5/22/97,"{city: Cleveland, state: Ohio, abbreviation: CLE, teamName: Cleveland Cavaliers}","{height: 83, weight: 240}",24,"[F, C]",
Evan,Mobley,6/19/01,"{city: Cleveland, state: Ohio, abbreviation: CLE, teamName: Cleveland Cavaliers}","{height: 83, weight: 215}",4,[C],
RJ,Nembhard Jr.,3/24/99,"{city: Cleveland, state: Ohio, abbreviation: CLE, teamName: Cleveland Cavaliers}","{height: 76, weight: 200}",5,[G],
Isaac,Okoro,1/24/01,"{city: Cleveland, state: Ohio, abbreviation: CLE, teamName: Cleveland Cavaliers}","{height: 77, weight: 225}",35,"[F, G]",
Cedi,Osman,4/9/95,"{city: Cleveland, state: Ohio, abbreviation: CLE, teamName: Cleveland Cavaliers}","{height: 79, weight: 230}",16,[F],
Kevin,Pangos,1/26/93,"{city: Cleveland, state: Ohio, abbreviation: CLE, teamName: Cleveland Cavaliers}","{height: 73, weight: 179}",6,[G],
Ricky,Rubio,10/24/90,"{city: Cleveland, state: Ohio, abbreviation: CLE, teamName: Cleveland Cavaliers}","{height: 74, weight: 190}",3,[G],
Collin,Sexton,1/3/99,"{city: Cleveland, state: Ohio, abbreviation: CLE, teamName: Cleveland Cavaliers}","{height: 73, weight: 190}",2,[G],
Lamar,Stevens,7/8/97,"{city: Cleveland, state: Ohio, abbreviation: CLE, teamName: Cleveland Cavaliers}","{height: 78, weight: 230}",8,[F],
Denzel,Valentine,11/17/93,"{city: Cleveland, state: Ohio, abbreviation: CLE, teamName: Cleveland Cavaliers}","{height: 76, weight: 220}",45,[G],
Dean,Wade,11/20/96,"{city: Cleveland, state: Ohio, abbreviation: CLE, teamName: Cleveland Cavaliers}","{height: 81, weight: 228}",32,"[F, C]",
Sterling,Brown,2/13/95,"{city: Dallas, state: Texas, abbreviation: DAL, teamName: Dallas Mavericks}","{height: 77, weight: 219}",0,"[G, F]",
Jalen,Brunson,9/1/96,"{city: Dallas, state: Texas, abbreviation: DAL, teamName: Dallas Mavericks}","{height: 73, weight: 190}",13,[G],
Reggie,Bullock,3/19/91,"{city: Dallas, state: Texas, abbreviation: DAL, teamName: Dallas Mavericks}","{height: 78, weight: 205}",25,"[G, F]",
Trey,Burke,11/14/92,"{city: Dallas, state: Texas, abbreviation: DAL, teamName: Dallas Mavericks}","{height: 73, weight: 185}",3,[G],
Willie,Cauley-Stein,8/18/93,"{city: Dallas, state: Texas, abbreviation: DAL, teamName: Dallas Mavericks}","{height: 85, weight: 240}",33,[C],
Luka,Doncic,2/27/99,"{city: Dallas, state: Texas, abbreviation: DAL, teamName: Dallas Mavericks}","{height: 79, weight: 230}",7,"[F, G]",
Dorian,Finney-Smith,5/4/93,"{city: Dallas, state: Texas, abbreviation: DAL, teamName: Dallas Mavericks}","{height: 79, weight: 220}",10,[F],
Josh,Green,11/15/00,"{city: Dallas, state: Texas, abbreviation: DAL, teamName: Dallas Mavericks}","{height: 77, weight: 200}",8,[G],
Tim,Hardaway Jr.,3/18/92,"{city: Dallas, state: Texas, abbreviation: DAL, teamName: Dallas Mavericks}","{height: 77, weight: 205}",11,"[G, F]",
Maxi,Kleber,1/30/92,"{city: Dallas, state: Texas, abbreviation: DAL, teamName: Dallas Mavericks}","{height: 82, weight: 240}",42,[F],
Frank,Ntilikina,7/30/98,"{city: Dallas, state: Texas, abbreviation: DAL, teamName: Dallas Mavericks}","{height: 76, weight: 200}",21,[G],
Kristaps,Porzingis,8/4/95,"{city: Dallas, state: Texas, abbreviation: DAL, teamName: Dallas Mavericks}","{height: 87, weight: 240}",6,"[F, C]",
Dwight,Powell,7/21/91,"{city: Dallas, state: Texas, abbreviation: DAL, teamName: Dallas Mavericks}","{height: 82, weight: 240}",7,"[F, C]",
Will,Barton,1/9/91,"{city: Denver, state: Colorado, abbreviation: DEN, teamName: Denver Nuggets}","{height: 77, weight: 181}",5,[G],
Facundo,Campazzo,3/26/91,"{city: Denver, state: Colorado, abbreviation: DEN, teamName: Denver Nuggets}","{height: 70, weight: 195}",7,[G],
PJ,Dozier,10/26/96,"{city: Denver, state: Colorado, abbreviation: DEN, teamName: Denver Nuggets}","{height: 78, weight: 205}",35,"[G, F]",
Aaron,Gordon,9/16/95,"{city: Denver, state: Colorado, abbreviation: DEN, teamName: Denver Nuggets}","{height: 80, weight: 235}",50,[F],
JaMychal,Green,6/22/90,"{city: Denver, state: Colorado, abbreviation: DEN, teamName: Denver Nuggets}","{height: 80, weight: 227}",0,"[F, C]",
Jeff,Green,8/31/86,"{city: Denver, state: Colorado, abbreviation: DEN, teamName: Denver Nuggets}","{height: 80, weight: 235}",32,[F],
Nikola,Jokic,2/20/95,"{city: Denver, state: Colorado, abbreviation: DEN, teamName: Denver Nuggets}","{height: 83, weight: 284}",15,[C],
Monte,Morris,6/28/95,"{city: Denver, state: Colorado, abbreviation: DEN, teamName: Denver Nuggets}","{height: 70, weight: 183}",11,[G],
Michael,Porter Jr.,7/1/98,"{city: Denver, state: Colorado, abbreviation: DEN, teamName: Denver Nuggets}","{height: 82, weight: 218}",1,[F],
Austin,Rivers,8/4/92,"{city: Denver, state: Colorado, abbreviation: DEN, teamName: Denver Nuggets}","{height: 76, weight: 200}",25,[G],
Saddiq,Bey,4/8/99,"{city: Detroit, state: Michigan, abbreviation: DET, teamName: Detroit Pistons}","{height: 79, weight: 215}",41,[F],
Hamidou,Diallo,7/30/98,"{city: Detroit, state: Michigan, abbreviation: DET, teamName: Detroit Pistons}","{height: 77, weight: 202}",6,[G],
Luka,Garza,12/27/98,"{city: Detroit, state: Michigan, abbreviation: DET, teamName: Detroit Pistons}","{height: 82, weight: 243}",55,[C],
Jerami,Grant,3/14/94,"{city: Detroit, state: Michigan, abbreviation: DET, teamName: Detroit Pistons}","{height: 80, weight: 210}",9,[F],
Killian,Hayes,7/25/01,"{city: Detroit, state: Michigan, abbreviation: DET, teamName: Detroit Pistons}","{height: 77, weight: 195}",7,[G],
Frank,Jackson,5/3/98,"{city: Detroit, state: Michigan, abbreviation: DET, teamName: Detroit Pistons}","{height: 75, weight: 205}",5,[G],
Josh,Jackson,2/12/97,"{city: Detroit, state: Michigan, abbreviation: DET, teamName: Detroit Pistons}","{height: 80, weight: 207}",20,"[G, F]",
Cory,Joseph,8/23/91,"{city: Detroit, state: Michigan, abbreviation: DET, teamName: Detroit Pistons}","{height: 75, weight: 200}",18,[G],
Saben,Lee,6/23/99,"{city: Detroit, state: Michigan, abbreviation: DET, teamName: Detroit Pistons}","{height: 74, weight: 183}",38,[G],
Trey,Lyles,11/6/95,"{city: Detroit, state: Michigan, abbreviation: DET, teamName: Detroit Pistons}","{height: 81, weight: 234}",8,[F],
Rodney,McGruder,8/1/91,"{city: Detroit, state: Michigan, abbreviation: DET, teamName: Detroit Pistons}","{height: 76, weight: 205}",17,[G],
Kelly,Olynyk,4/21/91,"{city: Detroit, state: Michigan, abbreviation: DET, teamName: Detroit Pistons}","{height: 83, weight: 240}",13,"[F, C]",
Jamorko,Pickett,12/23/97,"{city: Detroit, state: Michigan, abbreviation: DET, teamName: Detroit Pistons}","{height: 81, weight: 206}",24,[F],
Isaiah,Stewart,5/21/01,"{city: Detroit, state: Michigan, abbreviation: DET, teamName: Detroit Pistons}","{height: 80, weight: 250}",28,"[F, C]",
Nemanja,Bjelica,5/13/88,"{city: San Francisco, state: California, abbreviation: GSW, teamName: Golden State Warriors}","{height: 81, weight: 234}",8,[F],
Stephen,Curry,3/19/88,"{city: San Francisco, state: California, abbreviation: GSW, teamName: Golden State Warriors}","{height: 74, weight: 185}",30,[G],
Draymond,Green,3/8/90,"{city: San Francisco, state: California, abbreviation: GSW, teamName: Golden State Warriors}","{height: 78, weight: 230}",23,[F],
Andre,Iguodala,2/1/84,"{city: San Francisco, state: California, abbreviation: GSW, teamName: Golden State Warriors}","{height: 78, weight: 215}",9,"[G, F]",
Damion,Lee,10/23/92,"{city: San Francisco, state: California, abbreviation: GSW, teamName: Golden State Warriors}","{height: 77, weight: 210}",1,"[G, F]",
Kevon,Looney,2/6/96,"{city: San Francisco, state: California, abbreviation: GSW, teamName: Golden State Warriors}","{height: 81, weight: 222}",5,[F],
Moses,Moody,6/1/02,"{city: San Francisco, state: California, abbreviation: GSW, teamName: Golden State Warriors}","{height: 77, weight: 211}",4,[G],
Gary,Payton II,12/2/92,"{city: San Francisco, state: California, abbreviation: GSW, teamName: Golden State Warriors}","{height: 75, weight: 195}",0,[G],
Jordan,Poole,6/20/99,"{city: San Francisco, state: California, abbreviation: GSW, teamName: Golden State Warriors}","{height: 76, weight: 194}",3,[G],
Otto,Porter Jr.,6/6/93,"{city: San Francisco, state: California, abbreviation: GSW, teamName: Golden State Warriors}","{height: 80, weight: 198}",32,[F],
Juan,Toscano-Anderson,4/12/93,"{city: San Francisco, state: California, abbreviation: GSW, teamName: Golden State Warriors}","{height: 78, weight: 209}",95,[F],
Andrew,Wiggins,2/24/95,"{city: San Francisco, state: California, abbreviation: GSW, teamName: Golden State Warriors}","{height: 79, weight: 197}",22,[F],
D.J.,Augustin,11/12/87,"{city: Houston, state: Texas, abbreviation: HOU, teamName: Houston Rockets}","{height: 71, weight: 183}",14,[G],
Armoni,Brooks,6/5/98,"{city: Houston, state: Texas, abbreviation: HOU, teamName: Houston Rockets}","{height: 75, weight: 195}",7,[G],
Josh,Christopher,12/7/01,"{city: Houston, state: Texas, abbreviation: HOU, teamName: Houston Rockets}","{height: 75, weight: 215}",9,[G],
Usman,Garuba,3/9/02,"{city: Houston, state: Texas, abbreviation: HOU, teamName: Houston Rockets}","{height: 80, weight: 229}",16,[F],
Eric,Gordon,12/29/88,"{city: Houston, state: Texas, abbreviation: HOU, teamName: Houston Rockets}","{height: 75, weight: 215}",10,[G],
Jalen,Green,2/7/02,"{city: Houston, state: Texas, abbreviation: HOU, teamName: Houston Rockets}","{height: 76, weight: 186}",0,[G],
Danuel,House Jr.,6/10/93,"{city: Houston, state: Texas, abbreviation: HOU, teamName: Houston Rockets}","{height: 78, weight: 220}",4,"[F, G]",
Kenyon,Martin Jr.,1/6/01,"{city: Houston, state: Texas, abbreviation: HOU, teamName: Houston Rockets}","{height: 77, weight: 215}",6,[F],
David,Nwaba,1/15/93,"{city: Houston, state: Texas, abbreviation: HOU, teamName: Houston Rockets}","{height: 77, weight: 219}",2,"[G, F]",
Kevin,Porter Jr.,5/6/00,"{city: Houston, state: Texas, abbreviation: HOU, teamName: Houston Rockets}","{height: 76, weight: 203}",3,"[G, F]",
Alperen,Sengun,7/25/02,"{city: Houston, state: Texas, abbreviation: HOU, teamName: Houston Rockets}","{height: 82, weight: 243}",28,[C],
Jae'Sean,Tate,10/30/95,"{city: Houston, state: Texas, abbreviation: HOU, teamName: Houston Rockets}","{height: 76, weight: 230}",8,[F],
Daniel,Theis,4/5/92,"{city: Houston, state: Texas, abbreviation: HOU, teamName: Houston Rockets}","{height: 81, weight: 245}",27,"[F, C]",
Christian,Wood,9/27/95,"{city: Houston, state: Texas, abbreviation: HOU, teamName: Houston Rockets}","{height: 81, weight: 214}",35,[F],
Oshae,Brissett,6/20/98,"{city: Indiana, state: Indianopolis, abbreviation: IND, teamName: Indiana Pacers}","{height: 79, weight: 210}",12,"[F, G]",
Malcolm,Brogdon,12/13/92,"{city: Indiana, state: Indianopolis, abbreviation: IND, teamName: Indiana Pacers}","{height: 77, weight: 229}",7,[G],
Torrey,Craig,12/21/90,"{city: Indiana, state: Indianopolis, abbreviation: IND, teamName: Indiana Pacers}","{height: 79, weight: 221}",13,[F],
Chris,Duarte,6/12/97,"{city: Indiana, state: Indianopolis, abbreviation: IND, teamName: Indiana Pacers}","{height: 77, weight: 190}",3,[G],
Justin,Holiday,4/6/89,"{city: Indiana, state: Indianopolis, abbreviation: IND, teamName: Indiana Pacers}","{height: 78, weight: 180}",8,"[F, G]",
Isaiah,Jackson,1/9/02,"{city: Indiana, state: Indianopolis, abbreviation: IND, teamName: Indiana Pacers}","{height: 82, weight: 205}",23,[F],
Jeremy,Lamb,6/3/92,"{city: Indiana, state: Indianopolis, abbreviation: IND, teamName: Indiana Pacers}","{height: 77, weight: 180}",26,"[G, F]",
T.J.,McConnell,3/29/92,"{city: Indiana, state: Indianopolis, abbreviation: IND, teamName: Indiana Pacers}","{height: 73, weight: 190}",9,[G],
Domantas,Sabonis,5/3/96,"{city: Indiana, state: Indianopolis, abbreviation: IND, teamName: Indiana Pacers}","{height: 83, weight: 240}",11,"[F, C]",
Myles,Turner,3/24/96,"{city: Indiana, state: Indianopolis, abbreviation: IND, teamName: Indiana Pacers}","{height: 83, weight: 250}",33,"[C, F]",
Brad,Wanamaker,7/28/89,"{city: Indiana, state: Indianopolis, abbreviation: IND, teamName: Indiana Pacers}","{height: 75, weight: 210}",10,[G],
Carmelo,Anthony,6/1/84,"{city: Los Angeles, state: California, abbreviation: LAL, teamName: Los Angeles Lakers}","{height: 79, weight: 238}",7,[F],
Kent,Bazemore,7/3/89,"{city: Los Angeles, state: California, abbreviation: LAL, teamName: Los Angeles Lakers}","{height: 76, weight: 195}",9,"[G, F]",
Avery,Bradley,11/29/90,"{city: Los Angeles, state: California, abbreviation: LAL, teamName: Los Angeles Lakers}","{height: 75, weight: 180}",20,[G],
Anthony,Davis,3/14/93,"{city: Los Angeles, state: California, abbreviation: LAL, teamName: Los Angeles Lakers}","{height: 82, weight: 253}",3,"[F, C]",
Dwight,Howard,12/11/85,"{city: Los Angeles, state: California, abbreviation: LAL, teamName: Los Angeles Lakers}","{height: 82, weight: 265}",39,"[C, F]",
LeBron,James,1/2/85,"{city: Los Angeles, state: California, abbreviation: LAL, teamName: Los Angeles Lakers}","{height: 81, weight: 250}",6,[F],
DeAndre,Jordan,7/25/88,"{city: Los Angeles, state: California, abbreviation: LAL, teamName: Los Angeles Lakers}","{height: 83, weight: 265}",10,[C],
Malik,Monk,2/5/98,"{city: Los Angeles, state: California, abbreviation: LAL, teamName: Los Angeles Lakers}","{height: 75, weight: 200}",11,[G],
Austin,Reaves,5/29/98,"{city: Los Angeles, state: California, abbreviation: LAL, teamName: Los Angeles Lakers}","{height: 77, weight: 197}",15,[G],
Rajon,Rondo,2/26/86,"{city: Los Angeles, state: California, abbreviation: LAL, teamName: Los Angeles Lakers}","{height: 73, weight: 180}",4,[G],
Russell,Westbrook,11/15/88,"{city: Los Angeles, state: California, abbreviation: LAL, teamName: Los Angeles Lakers}","{height: 75, weight: 200}",0,[G],
Steven,Adams,7/20/93,"{city: Memphis, state: Tenesse, abbreviation: MEM, teamName: Memphis Grizzlies}","{height: 83, weight: 265}",4,[C],
Kyle,Anderson,9/20/93,"{city: Memphis, state: Tenesse, abbreviation: MEM, teamName: Memphis Grizzlies}","{height: 81, weight: 230}",1,"[F, G]",
Desmond,Bane,6/27/98,"{city: Memphis, state: Tenesse, abbreviation: MEM, teamName: Memphis Grizzlies}","{height: 77, weight: 215}",22,[G],
Brandon,Clarke,9/19/96,"{city: Memphis, state: Tenesse, abbreviation: MEM, teamName: Memphis Grizzlies}","{height: 80, weight: 215}",15,[F],
Jaren,Jackson Jr.,9/15/99,"{city: Memphis, state: Tenesse, abbreviation: MEM, teamName: Memphis Grizzlies}","{height: 83, weight: 242}",13,"[F, C]",
Tyus,Jones,5/11/96,"{city: Memphis, state: Tenesse, abbreviation: MEM, teamName: Memphis Grizzlies}","{height: 73, weight: 196}",21,[G],
John,Konchar,3/24/96,"{city: Memphis, state: Tenesse, abbreviation: MEM, teamName: Memphis Grizzlies}","{height: 77, weight: 210}",46,[G],
De'Anthony,Melton,5/29/98,"{city: Memphis, state: Tenesse, abbreviation: MEM, teamName: Memphis Grizzlies}","{height: 74, weight: 200}",0,[G],
Ja,Morant,8/10/99,"{city: Memphis, state: Tenesse, abbreviation: MEM, teamName: Memphis Grizzlies}","{height: 75, weight: 174}",12,[G],
Xavier,Tillman Sr.,1/14/99,"{city: Memphis, state: Tenesse, abbreviation: MEM, teamName: Memphis Grizzlies}","{height: 80, weight: 245}",2,[F],
Ziaire,Williams,9/11/01,"{city: Memphis, state: Tenesse, abbreviation: MEM, teamName: Memphis Grizzlies}","{height: 81, weight: 185}",8,[F],
Bam,Adebayo,7/19/97,"{city: Miami, state: Florida, abbreviation: MIA, teamName: Miami Heat}","{height: 81, weight: 255}",13,"[C, F]",
